"","frn","cnt_co","cnt_services","cnt_locations","area_sqkm2","states"
"549","0030462204",3,21726,21726,1547.532752,"{01}"
"550","0030900039",3,21936,21936,1382.357821,"{01}"
"551","0031191778",2,738,738,124.638897,"{22}"
"552","0031355514",1,12062,12062,107.997278,"{39}"
"553","0031777865",8,253528,112820,5216.084984,"{04,32,49}"
"554","0031960909",8,10421,10421,1524.364537,"{01,28}"
"555","0032009425",1,8336,4168,390.044186,"{19}"
"556","0032358327",2,11139,10211,202.856321,"{49}"
"557","0032486052",7,132685,131109,4337.009362,"{04,08}"
"558","0032659112",2,3708,3708,51.119319,"{17}"
"559","0032728677",2,6212,6212,91.225719,"{12,13}"
"560","0002594893",2,1964,1964,423.614006,"{19}"
"561","0002594976",1,338,338,179.17471,"{19}"
"562","0002595106",4,2124,2124,438.397173,"{19}"
"563","0002595452",2,2554,2554,646.926636,"{19}"
"564","0002595734",1,544,544,179.612158,"{19}"
"565","0002595858",7,6170,3085,920.347362,"{19,27}"
"566","0002595874",2,2582,2582,301.631419,"{19}"
"567","0002596195",3,374,369,167.846701,"{19}"
"568","0002596344",2,2741,2741,390.982392,"{19}"
"569","0002596377",2,2185,2185,353.057992,"{19}"
"570","0002598076",1,588,588,218.893853,"{19}"
"571","0002598225",1,2677,2677,384.988102,"{19}"
"572","0002598464",1,1067,1067,222.031363,"{19}"
"573","0002598779",6,2034,1955,1376.870471,"{19}"
"574","0002621951",135,1597998,786596,67389.347689,"{20,27,38,46,55}"
"575","0002623635",1,3840,3009,76.222516,"{27}"
"576","0002638641",13,18619,18619,11090.607155,"{38}"
"577","0002644284",2,3128,2099,1429.712097,"{27}"
"578","0002645497",5,6813,6811,1420.254084,"{27}"
"579","0002645612",6,7024,7024,2435.287618,"{27}"
"580","0002645729",5,27207,20568,3696.364676,"{27}"
"581","0002645778",3,4228,4228,614.655803,"{27}"
"582","0002645927",9,33570,23140,5250.812154,"{19,27}"
"583","0002647287",5,5061,3571,1793.791824,"{27}"
