"geoid_bl","tot_loc","cnt_ms"
"500019606002012",9,"9"
"500019606002013",1,"2"
"500019606002014",18,"12"
"500019606002015",5,"15"
"500019606002016",NULL,"0"
"500019606002017",4,"5"
"500019606002018",14,"20"
"500019606002019",4,"4"
"500019606002020",1,"0"
"500019606002021",34,"57"
"500019606002022",7,"6"
"500019606002023",4,"8"
"500019606002024",26,"29"
"500019606002025",4,"6"
"500019606002026",1,"1"
"500019606002027",21,"27"
"500019606002028",3,"4"
"500019606002029",7,"5"
"500019606002030",1,"0"
"500019606002031",8,"9"
"500019606002032",5,"7"
"500019606002033",NULL,"0"
"500019606002034",10,"11"
"500019606002035",2,"3"
"500019606002036",3,"8"
"500019606002037",NULL,"0"
"500019606002038",1,"3"
"500019606002039",NULL,"0"
"500019606002040",2,"0"
"500019606002041",1,"3"
"500019606002042",6,"4"
"500019606002043",NULL,"0"
"500019606002044",1,"1"
"500019606002045",3,"4"
"500019606002046",NULL,"0"
"500019606002047",1,"2"
"500019606002048",2,"3"
"500019606002049",6,"6"
"500019606002050",NULL,"0"
