"state_abbr","brand_name","technology","count"
"ME","Axiom",10,"486"
"ME","Axiom",50,"1575"
"AK","Ax-S-Anywhere",70,"3637"
"CA","Ayera Technologies, Inc.",71,"145348"
"OH","Ayersville Telephone Company",10,"1076"
"OH","Ayersville Telephone Company",50,"709"
"IA","Ayrshire Farmers Mutual Telephone Company",50,"459"
"AZ","AzAirNet",70,"1157"
"NC","AzAirNet",70,"1"
"OH","AzAirNet",70,"1"
"OR","Azure Standard",70,"220"
"NM","Baca Valley Telephone",10,"668"
"NM","Baca Valley Telephone",50,"53"
"CO","Backcountry Broadband",50,"21"
"TX","Backroads Broadband",70,"8388"
"MN","BagleyPublic Utilities",40,"690"
"CA","BAI Connect",50,"988"
"NV","BAI Connect",50,"17"
"WI","Baldwin_Broadband",40,"822"
"WI","Baldwin_Broadband",50,"6873"
"IA","Baldwin Nashville Telephone Company, Inc.",50,"474"
"WI","Baldwin_Telecom_Inc.",40,"1097"
"WI","Baldwin_Telecom_Inc.",50,"4068"
"KY","Ballard Rural Telephone Cooperative Corporation",50,"6442"
"NC","BalsamWest FiberNET, LLC",10,"1"
"NC","BalsamWest FiberNET, LLC",50,"849"
"NC","BalsamWest FiberNET, LLC",70,"1264"
"MI","Baraga Telephone Company",10,"4349"
"MI","Baraga Telephone Company",50,"5877"
"KY","Barbourville Utility Commission",50,"3252"
"VA","BARC Connects",50,"8313"
"MI","Barger Creek Wireless",50,"2"
"MI","Barger Creek Wireless",72,"3315"
"MN","Barnesville Municipal Telephone",50,"1086"
"AR","BarryElectricCooperative",50,"10"
"MO","BarryElectricCooperative",50,"8087"
"KS","BartNet IP, LLC",70,"605"
"OK","BartNet IP, LLC",70,"29926"
"OH","Bascom Communications",50,"4316"
"OH","Bascom Communications",70,"10752"
"OH","Bascom Communications",71,"33084"
"IN","Baseline Internet",50,"754"
"TX","Basin 2 Way Radio, Inc.",70,"336"
"DE","Bay Country Communications",50,"6"
"MD","Bay Country Communications",40,"3368"
"MD","Bay Country Communications",50,"304"
"WI","Bayfield Wireless",70,"1180"
"WI","Bayfield Wireless",71,"6380"
"AR","Bayou Cable Inc",40,"566"
"LA","Bayou Cable Inc",40,"2083"
"IA","BCCTC",10,"210"
"AL","BCI_Mississippi_Broadband_LLC",40,"1285"
"MS","BCI_Mississippi_Broadband_LLC",40,"80969"
"MS","BCI_Mississippi_Broadband_LLC",50,"27088"
"MI","BCTC",10,"5353"
"MI","BCTC",50,"2794"
"AL","BDA Wireless LLC",70,"16"
"IA","BDC FIXED BROADBAND AVAILABILITY",50,"2412"
"IA","BDC FIXED BROADBAND AVAILABILITY",70,"125"
"OR","Beacon Broadband, Inc.",50,"4047"
"OR","Beacon Broadband, Inc.",70,"550"
"AL","Beamspeed",71,"4184"
"AZ","Beamspeed",40,"2069"
"AZ","Beamspeed",50,"3319"
"AZ","Beamspeed",71,"78426"
"CA","Beamspeed",40,"2"
"CA","Beamspeed",50,"384"
"CA","Beamspeed",71,"38189"
"GA","Beamspeed",71,"34977"
"NE","Beamspeed",71,"2693"
"NM","Beamspeed",71,"86830"
"TX","Beamspeed",71,"61737"
"VA","Beamspeed",71,"21328"
"OR","Beaver Creek Cooperative Telephone Company",10,"3697"
"OR","Beaver Creek Cooperative Telephone Company",40,"2139"
"OR","Beaver Creek Cooperative Telephone Company",50,"137"
"PA","Beaver_Valley_Cable",40,"1755"
"PA","Beaver_Valley_Cable",50,"208"
"TX","BEC Communications, LLC",50,"2825"
"TX","BEC Communications, LLC",70,"264"
"TX","BEC Fiber",50,"23979"
"TX","Bee Creek Communications Inc.",70,"58714"
"TX","Bee Creek Communications Inc.",72,"23798"
"NV","Beehive Broadband",50,"90"
"NV","Beehive Broadband",70,"271"
"UT","Beehive Broadband",40,"13"
"UT","Beehive Broadband",50,"140062"
"UT","Beehive Broadband",70,"22064"
"ME","Bee Line Cable",40,"13699"
"VA","Bee Online Advantage",50,"943"
"OK","Beggs Telephone Company, Inc.",10,"1206"
"OK","Beggs Telephone Company, Inc.",50,"743"
"UT","BEH Communications",70,"7299"
"ND","BEK Communications Cooperative",50,"19025"
"NC","Belhaven Cable TV Inc.",40,"900"
"DC","Believe Broadband",50,"2"
"DC","Believe Broadband",70,"23198"
"MD","Believe Broadband",70,"689487"
"OH","Belmont County Gig",50,"563"
